Dimension,Variable,est,se,ci.lower,ci.upper
Property household/vehicle,T1 (15/16),0.5609903928221057,0.10075834446684792,0.36350766652520317,0.7584731191190083
Property household/vehicle,T2 (17/18),0.20032780417556342,0.04455088324275835,0.11300967754030807,0.2876459308108188
Property household/vehicle,T3 (19/20),0.22848862829882083,0.05113228663746706,0.12827118804220677,0.3287060685554349
Property household/vehicle,M: Offence location (report),0.005245098064609349,0.006581158963226457,-0.007653736479847465,0.018143932609066164
Property household/vehicle,M: Victim residence,0.17413918251561572,0.04103434104629388,0.0937133519355461,0.25456501309568536
Property household/vehicle,M: Offence location,0.07458870597605564,0.026107862021619143,0.02341823670034105,0.12575917525177024
Property household/vehicle,M: Victim residence (report),0.02002427854135737,0.01619269086013486,-0.01171281235729785,0.0517613694400126
Property personal,T1 (15/16),0.5258870207713048,0.10912050318465617,0.31201476455449045,0.7397592769881192
Property personal,T2 (17/18),0.13633020285981395,0.04012364757908708,0.057689298676425554,0.21497110704320235
Property personal,T3 (19/20),0.08629632610510157,0.03180154097280425,0.02396645114553038,0.14862620106467278
Property personal,M: Offence location (report),0.09348288169508925,0.076202333853338,-0.05587094819535049,0.242836711585529
Property personal,M: Victim residence,0.2031293661473313,0.08404129925177338,0.038411446399902516,0.36784728589476007
Property personal,M: Offence location,0.3372329266787157,0.11902211428154755,0.10395386932307213,0.5705119840343592
Property personal,M: Victim residence (report),0.14681889318257743,0.09216296847819243,-0.03381720574297997,0.32745499210813483
Violence,T1 (15/16),0.4092245658430663,0.07908338749415911,0.2542239745790892,0.5642251571070435
Violence,T2 (17/18),0.21020960276343353,0.0477097228275633,0.11670026430902102,0.30371894121784604
Violence,T3 (19/20),0.1559544860320647,0.042181450812107106,0.07328036162468696,0.23862861043944242
Violence,M: Offence location (report),0.030733725656003626,0.02423104352788451,-0.016758246966472375,0.07822569827847962
Violence,M: Victim residence,0.2782452060515361,0.06834111051914893,0.14429909077053277,0.4121913213325394
Violence,M: Offence location,0.17644993570771653,0.04860705365840991,0.08118186114262725,0.2717180102728058
Violence,M: Victim residence (report),0.035205996124225536,0.026600117018792183,-0.016929275217158084,0.08734126746560916
